fecha,AENA_ultimo,AENA_per,AENA_bpa,AENA_rentabilidad_por_dividendo,AENA_precio_valor_contable,AENA_ebitda
2019-07-23,"174,35","12,42","9,61","4,00","2,80","2.772,00"
2019-07-24,"174,00","12,42","9,61","4,00","2,80","2.772,00"
2019-07-25,"171,45","12,42","9,61","4,00","2,80","2.772,00"
2019-07-26,"171,00","12,42","9,61","4,00","2,80","2.772,00"
2019-07-29,"171,40","12,42","9,61","4,00","2,80","2.772,00"
2019-07-30,"169,60","12,42","9,61","4,00","2,80","2.772,00"
2019-07-31,"164,10","12,42","9,61","4,00","2,80","2.772,00"
2019-08-01,"167,45","12,42","9,61","4,00","2,80","2.772,00"
2019-08-02,"164,95","12,42","9,61","4,00","2,80","2.772,00"
2019-08-05,"161,05","12,42","9,61","4,00","2,80","2.772,00"
2019-08-06,"161,00","12,42","9,61","4,00","2,80","2.772,00"
2019-08-07,"162,40","12,42","9,61","4,00","2,80","2.772,00"
2019-08-08,"163,85","12,42","9,61","4,00","2,80","2.772,00"
2019-08-09,"162,85","12,42","9,61","4,00","2,80","2.772,00"
2019-08-12,"164,30","12,42","9,61","4,00","2,80","2.772,00"
2019-08-13,"161,75","12,42","9,61","4,00","2,80","2.772,00"
2019-08-14,"160,70","12,42","9,61","4,00","2,80","2.772,00"
2019-08-15,"161,20","12,42","9,61","4,00","2,80","2.772,00"
2019-08-16,"162,85","12,42","9,61","4,00","2,80","2.772,00"
2019-08-19,"163,90","12,42","9,61","4,00","2,80","2.772,00"
2019-08-20,"162,40","12,42","9,61","4,00","2,80","2.772,00"
2019-08-21,"163,50","12,42","9,61","4,00","2,80","2.772,00"
2019-08-22,"162,65","12,42","9,61","4,00","2,80","2.772,00"
2019-08-23,"161,40","12,42","9,61","4,00","2,80","2.772,00"
2019-08-26,"162,50","12,42","9,61","4,00","2,80","2.772,00"
2019-08-27,"164,25","12,42","9,61","4,00","2,80","2.772,00"
2019-08-28,"163,40","12,42","9,61","4,00","2,80","2.772,00"
2019-08-29,"164,05","12,42","9,61","4,00","2,80","2.772,00"
2019-08-30,"164,00","12,42","9,61","4,00","2,80","2.772,00"
2019-09-02,"165,45","12,42","9,61","4,00","2,80","2.772,00"
2019-09-03,"165,30","12,42","9,61","4,00","2,80","2.772,00"
2019-09-04,"165,85","12,42","9,61","4,00","2,80","2.772,00"
2019-09-05,"167,10","12,42","9,61","4,00","2,80","2.772,00"
2019-09-06,"167,20","12,42","9,61","4,00","2,80","2.772,00"
2019-09-09,"164,55","12,42","9,61","4,00","2,80","2.772,00"
2019-09-10,"166,00","12,42","9,61","4,00","2,80","2.772,00"
2019-09-11,"166,00","12,42","9,61","4,00","2,80","2.772,00"
2019-09-12,"165,85","12,42","9,61","4,00","2,80","2.772,00"
2019-09-13,"164,40","12,42","9,61","4,00","2,80","2.772,00"
2019-09-16,"161,30","12,42","9,61","4,00","2,80","2.772,00"
2019-09-17,"162,15","12,42","9,61","4,00","2,80","2.772,00"
2019-09-18,"163,50","12,42","9,61","4,00","2,80","2.772,00"
2019-09-19,"163,45","12,42","9,61","4,00","2,80","2.772,00"
2019-09-20,"163,95","12,42","9,61","4,00","2,80","2.772,00"
2019-09-23,"161,85","12,42","9,61","4,00","2,80","2.772,00"
2019-09-24,"164,15","12,42","9,61","4,00","2,80","2.772,00"
2019-09-25,"165,05","12,42","9,61","4,00","2,80","2.772,00"
2019-09-26,"165,45","12,42","9,61","4,00","2,80","2.772,00"
2019-09-27,"167,10","12,42","9,61","4,00","2,80","2.772,00"
2019-09-30,"168,00","12,42","9,61","4,00","2,80","2.772,00"
